0x2121	0x3000
0x234C	0xff2c
0x234D	0xff2d
0x234E	0xff2e
0x234F	0xff2f
0x2350	0xff30
0x2351	0xff31
0x2352	0xff32
0x2353	0xff33
0x2354	0xff34
0x2355	0xff35
0x2356	0xff36
0x2357	0xff37
0x2358	0xff38
0x2359	0xff39
0x235A	0xff3a
0x235B	0x2213
0x235C	0x2135
0x235D	0x210f
0x235E	0x33cb
0x235F	0x2113
0x2360	0x2127
0x2361	0xff41
0x2362	0xff42
0x2363	0xff43
0x2364	0xff44
0x2365	0xff45
0x2366	0xff46
0x2367	0xff47
0x2368	0xff48
0x2369	0xff49
0x236A	0xff4a
0x236B	0xff4b
0x236C	0xff4c
0x236D	0xff4d
0x236E	0xff4e
0x236F	0xff4f
0x2370	0xff50
0x2371	0xff51
0x2372	0xff52
0x2373	0xff53
0x2374	0xff54
0x2375	0xff55
0x2376	0xff56
0x2377	0xff57
0x2378	0xff58
0x2379	0xff59
0x237A	0xff5a
0x237C	0x2013
0x2421	0x3041
0x2422	0x3042
0x2423	0x3043
0x2424	0x3044
0x2425	0x3045
0x2426	0x3046
0x2427	0x3047
0x2428	0x3048
0x2429	0x3049
0x242A	0x304a
0x242B	0x304b
0x242C	0x304c
0x242D	0x304d
0x242E	0x304e
0x242F	0x304f
0x2430	0x3050
0x2431	0x3051
0x2432	0x3052
0x2433	0x3053
0x2434	0x3054
0x2435	0x3055
0x2436	0x3056
0x2437	0x3057
0x2438	0x3058
0x2439	0x3059
0x243A	0x305a
0x243B	0x305b
0x243C	0x305c
0x243D	0x305d
0x243E	0x305e
0x243F	0x305f
0x2440	0x3060
0x2441	0x3061
0x2442	0x3062
0x2443	0x3063
0x2444	0x3064
0x2445	0x3065
0x2446	0x3066
0x2447	0x3067
0x2448	0x3068
0x2449	0x3069
0x244A	0x306a
0x244B	0x306b
0x244C	0x306c
0x244D	0x306d
0x244E	0x306e
0x244F	0x306f
0x2450	0x3070
0x2451	0x3071
0x2452	0x3072
0x2453	0x3073
0x2454	0x3074
0x2455	0x3075
0x2456	0x3076
0x2457	0x3077
0x2458	0x3078
0x2459	0x3079
0x245A	0x307a
0x245B	0x307b
0x245C	0x307c
0x245D	0x307d
0x245E	0x307e
0x245F	0x307f
0x2460	0x3080
0x2461	0x3081
0x2462	0x3082
0x2463	0x3083
0x2464	0x3084
0x2465	0x3085
0x2466	0x3086
0x2467	0x3087
0x2468	0x3088
0x2469	0x3089
0x246A	0x308a
0x246B	0x308b
0x246C	0x308c
0x246D	0x308d
0x246E	0x308e
0x246F	0x308f
0x2470	0x3090
0x2471	0x3091
0x2472	0x3092
0x2473	0x3093
0x2474	0x3094
0x2521	0x30a1
0x2522	0x30a2
0x2523	0x30a3
0x2524	0x30a4
0x2525	0x30a5
0x2526	0x30a6
0x2527	0x30a7
0x2528	0x30a8
0x2529	0x30a9
0x252A	0x30aa
0x252B	0x30ab
0x252C	0x30ac
0x252D	0x30ad
0x252E	0x30ae
0x252F	0x30af
0x2530	0x30b0
0x2531	0x30b1
0x2532	0x30b2
0x2533	0x30b3
0x2534	0x30b4
0x2535	0x30b5
0x2536	0x30b6
0x2537	0x30b7
0x2538	0x30b8
0x2539	0x30b9
0x253A	0x30ba
0x253B	0x30bb
0x253C	0x30bc
0x253D	0x30bd
0x253E	0x30be
0x253F	0x30bf
0x2540	0x30c0
0x2541	0x30c1
0x2542	0x30c2
0x2543	0x30c3
0x2544	0x30c4
0x2545	0x30c5
0x2546	0x30c6
0x2547	0x30c7
0x2548	0x30c8
0x2549	0x30c9
0x254A	0x30ca
0x254B	0x30cb
0x254C	0x30cc
0x254D	0x30cd
0x254E	0x30ce
0x254F	0x30cf
0x2550	0x30d0
0x2551	0x30d1
0x2552	0x30d2
0x2553	0x30d3
0x2554	0x30d4
0x2555	0x30d5
0x2556	0x30d6
0x2557	0x30d7
0x2558	0x30d8
0x2559	0x30d9
0x255A	0x30da
0x255B	0x30db
0x255C	0x30dc
0x255D	0x30dd
0x255E	0x30de
0x255F	0x30df
0x2560	0x30e0
0x2561	0x30e1
0x2562	0x30e2
0x2563	0x30e3
0x2564	0x30e4
0x2565	0x30e5
0x2566	0x30e6
0x2567	0x30e7
0x2568	0x30e8
0x2569	0x30e9
0x256A	0x30ea
0x256B	0x30eb
0x256C	0x30ec
0x256D	0x30ed
0x256E	0x30ee
0x256F	0x30ef
0x2570	0x30f0
0x2571	0x30f1
0x2572	0x30f2
0x2573	0x30f3
0x2574	0x30f4
0x2575	0x30f5
0x2576	0x30f6
0x2621	0x0391
0x2622	0x0392
0x2623	0x0393
0x2624	0x0394
0x2625	0x0395
0x2626	0x0396
0x2627	0x0397
0x2628	0x0398
0x2629	0x0399
0x262A	0x039a
0x262B	0x039b
0x262C	0x039c
0x262D	0x039d
0x262E	0x039e
0x262F	0x039f
0x2630	0x03a0
0x2631	0x03a1
0x2632	0x03a3
0x2633	0x03a4
0x2634	0x03a5
0x2635	0x03a6
0x2636	0x03a7
0x2637	0x03a8
0x2638	0x03a9
0x2639	0x2664
0x263A	0x2660
0x263B	0x2662
0x263C	0x2666
0x263D	0x2661
0x263E	0x2665
0x263F	0x2667
0x2640	0x2663
0x2641	0x03b1
0x2642	0x03b2
0x2643	0x03b3
0x2644	0x03b4
0x2645	0x03b5
0x2646	0x03b6
0x2647	0x03b7
0x2648	0x03b8
0x2649	0x03b9
0x264A	0x03ba
0x264B	0x03bb
0x264C	0x03bc
0x264D	0x03bd
0x264E	0x03be
0x264F	0x03bf
0x2650	0x03c0
0x2651	0x03c1
0x2652	0x03c3
0x2653	0x03c4
0x2654	0x03c5
0x2655	0x03c6
0x2656	0x03c7
0x2657	0x03c8
0x2658	0x03c9
0x2659	0x03c2
0x2666	0x3020
0x2667	0x260e
0x2668	0x2600
0x2669	0x2601
0x266A	0x2602
0x266B	0x2603
0x266C	0x2668
0x266D	0x25b1
0x2721	0x0410
0x2722	0x0411
0x2723	0x0412
0x2724	0x0413
0x2725	0x0414
0x2726	0x0415
0x2727	0x0401
0x2728	0x0416
0x2729	0x0417
0x272A	0x0418
0x272B	0x0419
0x272C	0x041a
0x272D	0x041b
0x272E	0x041c
0x272F	0x041d
0x2730	0x041e
0x2731	0x041f
0x2732	0x0420
0x2733	0x0421
0x2734	0x0422
0x2735	0x0423
0x2736	0x0424
0x2737	0x0425
0x2738	0x0426
0x2739	0x0427
0x273A	0x0428
0x273B	0x0429
0x273C	0x042a
0x273D	0x042b
0x273E	0x042c
0x273F	0x042d
0x2740	0x042e
0x2741	0x042f
0x2751	0x0430
0x2752	0x0431
0x2753	0x0432
0x2754	0x0433
0x2755	0x0434
0x2756	0x0435
0x2757	0x0451
0x2758	0x0436
0x2759	0x0437
0x275A	0x0438
0x275B	0x0439
0x275C	0x043a
0x275D	0x043b
0x275E	0x043c
0x275F	0x043d
0x2760	0x043e
0x2761	0x043f
0x2762	0x0440
0x2763	0x0441
0x2764	0x0442
0x2765	0x0443
0x2766	0x0444
0x2767	0x0445
0x2768	0x0446
0x2769	0x0447
0x276A	0x0448
0x276B	0x0449
0x276C	0x044a
0x276D	0x044b
0x276E	0x044c
0x276F	0x044d
0x2770	0x044e
0x2771	0x044f
0x2772	0x30f7
0x2773	0x30f8
0x2774	0x30f9
0x2775	0x30fa
0x2776	0x22da
0x2777	0x22db
0x2778	0x2153
0x2779	0x2154
0x277A	0x2155
0x277B	0x2713
0x277C	0x2318
0x277D	0x2423
0x2821	0x2500
0x2822	0x2502
0x2823	0x250c
0x2824	0x2510
0x2825	0x2518
0x2826	0x2514
0x2827	0x251c
0x2828	0x252c
0x2829	0x2524
0x282A	0x2534
0x282B	0x253c
0x282C	0x2501
0x282D	0x2503
0x282E	0x250f
0x282F	0x2513
0x2830	0x251b
0x2831	0x2517
0x2832	0x2523
0x2833	0x2533
0x2834	0x252b
0x2835	0x253b
0x2836	0x254b
0x2837	0x2520
0x2838	0x252f
0x2839	0x2528
0x283A	0x2537
0x283B	0x253f
0x283C	0x251d
0x283D	0x2530
0x283E	0x2525
0x283F	0x2538
0x2840	0x2542
0x2867	0x25d0
0x2868	0x25d1
0x2869	0x25d2
0x286A	0x25d3
0x286B	0x203c
0x286D	0x2048
0x286E	0x2049
0x286F	0x01cd
0x2870	0x01ce
0x2871	0x01d0
0x2872	0x1e3e
0x2873	0x1e3f
0x2874	0x01f8
0x2875	0x01f9
0x2876	0x01d1
0x2877	0x01d2
0x2878	0x01d4
0x2879	0x01d6
0x287A	0x01d8
0x287B	0x01da
0x287C	0x01dc
0x2921	0x20ac
0x2922	0x00a0
0x2923	0x00a1
0x2924	0x00a4
0x2925	0x00a6
0x2926	0x00a9
0x2927	0x00aa
0x2928	0x00ab
0x2929	0x00ad
0x292A	0x00ae
0x292B	0x00af
0x292C	0x00b2
0x292D	0x00b3
0x292E	0x00b7
0x292F	0x00b8
0x2930	0x00b9
0x2931	0x00ba
0x2932	0x00bb
0x2933	0x00bc
0x2934	0x00bd
0x2935	0x00be
0x2936	0x00bf
0x2937	0x00c0
0x2938	0x00c1
0x2939	0x00c2
0x293A	0x00c3
0x293B	0x00c4
0x293C	0x00c5
0x293D	0x00c6
0x293E	0x00c7
0x293F	0x00c8
0x2940	0x00c9
0x2941	0x00ca
0x2942	0x00cb
0x2943	0x00cc
0x2944	0x00cd
0x2945	0x00ce
0x2946	0x00cf
0x2947	0x00d0
0x2948	0x00d1
0x2949	0x00d2
0x294A	0x00d3
0x294B	0x00d4
0x294C	0x00d5
0x294D	0x00d6
0x294E	0x00d8
0x294F	0x00d9
0x2950	0x00da
0x2951	0x00db
0x2952	0x00dc
0x2953	0x00dd
0x2954	0x00de
0x2955	0x00df
0x2956	0x00e0
0x2957	0x00e1
0x2958	0x00e2
0x2959	0x00e3
0x295A	0x00e4
0x295B	0x00e5
0x295C	0x00e6
0x295D	0x00e7
0x295E	0x00e8
0x295F	0x00e9
0x2960	0x00ea
0x2961	0x00eb
0x2962	0x00ec
0x2963	0x00ed
0x2964	0x00ee
0x2965	0x00ef
0x2966	0x00f0
0x2967	0x00f1
0x2968	0x00f2
0x2969	0x00f3
0x296A	0x00f4
0x296B	0x00f5
0x296C	0x00f6
0x296D	0x00f8
0x296E	0x00f9
0x296F	0x00fa
0x2970	0x00fb
0x2971	0x00fc
0x2972	0x00fd
0x2973	0x00fe
0x2974	0x00ff
0x2975	0x0100
0x2976	0x012a
0x2977	0x016a
0x2978	0x0112
0x2979	0x014c
0x297A	0x0101
0x297B	0x012b
0x297C	0x016b
0x297D	0x0113
0x297E	0x014d
0x2A21	0x0104
0x2A22	0x02d8
0x2A23	0x0141
0x2A24	0x013d
0x2A25	0x015a
0x2A26	0x0160
0x2A27	0x015e
0x2A28	0x0164
0x2A29	0x0179
0x2A2A	0x017d
0x2A2B	0x017b
0x2A2C	0x0105
0x2A2D	0x02db
0x2A2E	0x0142
0x2A2F	0x013e
0x2A30	0x015b
0x2A31	0x02c7
0x2A32	0x0161
0x2A33	0x015f
0x2A34	0x0165
0x2A35	0x017a
0x2A36	0x02dd
0x2A37	0x017e
0x2A38	0x017c
0x2A39	0x0154
0x2A3A	0x0102
0x2A3B	0x0139
0x2A3C	0x0106
0x2A3D	0x010c
0x2A3E	0x0118
0x2A3F	0x011a
0x2A40	0x010e
0x2A41	0x0143
0x2A42	0x0147
0x2A43	0x0150
0x2A44	0x0158
0x2A45	0x016e
0x2A46	0x0170
0x2A47	0x0162
0x2A48	0x0155
0x2A49	0x0103
0x2A4A	0x013a
0x2A4B	0x0107
0x2A4C	0x010d
0x2A4D	0x0119
0x2A4E	0x011b
0x2A4F	0x010f
0x2A50	0x0111
0x2A51	0x0144
0x2A52	0x0148
0x2A53	0x0151
0x2A54	0x0159
0x2A55	0x016f
0x2A56	0x0171
0x2A57	0x0163
0x2A58	0x02d9
0x2A59	0x0108
0x2A5A	0x011c
0x2A5B	0x0124
0x2A5C	0x0134
0x2A5D	0x015c
0x2A5E	0x016c
0x2A5F	0x0109
0x2A60	0x011d
0x2A61	0x0125
0x2A62	0x0135
0x2A63	0x015d
0x2A64	0x016d
0x2A65	0x0271
0x2A66	0x028b
0x2A67	0x027e
0x2A68	0x0283
0x2A69	0x0292
0x2A6A	0x026c
0x2A6B	0x026e
0x2A6C	0x0279
0x2A6D	0x0288
0x2A6E	0x0256
0x2A6F	0x0273
0x2A70	0x027d
0x2A71	0x0282
0x2A72	0x0290
0x2A73	0x027b
0x2A74	0x026d
0x2A75	0x025f
0x2A76	0x0272
0x2A77	0x029d
0x2A78	0x028e
0x2A79	0x0261
0x2A7A	0x014b
0x2A7B	0x0270
0x2A7C	0x0281
0x2A7D	0x0127
0x2A7E	0x0295
0x2B21	0x0294
0x2B22	0x0266
0x2B23	0x0298
0x2B24	0x01c2
0x2B25	0x0253
0x2B26	0x0257
0x2B27	0x0284
0x2B28	0x0260
0x2B29	0x0193
0x2B2A	0x0153
0x2B2B	0x0152
0x2B2C	0x0268
0x2B2D	0x0289
0x2B2E	0x0258
0x2B2F	0x0275
0x2B30	0x0259
0x2B31	0x025c
0x2B32	0x025e
0x2B33	0x0250
0x2B34	0x026f
0x2B35	0x028a
0x2B36	0x0264
0x2B37	0x028c
0x2B38	0x0254
0x2B39	0x0251
0x2B3A	0x0252
0x2B3B	0x028d
0x2B3C	0x0265
0x2B3D	0x02a2
0x2B3E	0x02a1
0x2B3F	0x0255
0x2B40	0x0291
0x2B41	0x027a
0x2B42	0x0267
0x2B43	0x025a
0x2B45	0x01fd
0x2B46	0x1f70
0x2B47	0x1f71
0x2B50	0x1f72
0x2B51	0x1f73
0x2B52	0x0361
0x2B53	0x02c8
0x2B54	0x02cc
0x2B55	0x02d0
0x2B56	0x02d1
0x2B57	0x0306
0x2B58	0x203F
0x2B59	0x030b
0x2B5A	0x0301
0x2B5B	0x0304
0x2B5C	0x0300
0x2B5D	0x030f
0x2B5E	0x030c
0x2B5F	0x0302
0x2B60	0x02e5
0x2B61	0x02e6
0x2B62	0x02e7
0x2B63	0x02e8
0x2B64	0x02e9
0x2B67	0x0325
0x2B68	0x032c
0x2B69	0x0339
0x2B6A	0x031c
0x2B6B	0x031f
0x2B6C	0x0320
0x2B6D	0x0308
0x2B6E	0x033d
0x2B6F	0x0329
0x2B70	0x032f
0x2B71	0x02de
0x2B72	0x0324
0x2B73	0x0330
0x2B74	0x033c
0x2B75	0x0334
0x2B76	0x031d
0x2B77	0x031e
0x2B78	0x0318
0x2B79	0x0319
0x2B7A	0x032a
0x2B7B	0x033a
0x2B7C	0x033b
0x2B7D	0x0303
0x2B7E	0x031a
0x2C21	0x2776
0x2C22	0x2777
0x2C23	0x2778
0x2C24	0x2779
0x2C25	0x277a
0x2C26	0x277b
0x2C27	0x277c
0x2C28	0x277d
0x2C29	0x277e
0x2C2A	0x277f
0x2C35	0x2170
0x2C36	0x2171
0x2C37	0x2172
0x2C38	0x2173
0x2C39	0x2174
0x2C3A	0x2175
0x2C3B	0x2176
0x2C3C	0x2177
0x2C3D	0x2178
0x2C3E	0x2179
0x2C3F	0x217a
0x2C40	0x217b
0x2C41	0x24d0
0x2C42	0x24d1
0x2C43	0x24d2
0x2C44	0x24d3
0x2C45	0x24d4
0x2C46	0x24d5
0x2C47	0x24d6
0x2C48	0x24d7
0x2C49	0x24d8
0x2C4A	0x24d9
0x2C4B	0x24da
0x2C4C	0x24db
0x2C4D	0x24dc
0x2C4E	0x24dd
0x2C4F	0x24de
0x2C50	0x24df
0x2C51	0x24e0
0x2C52	0x24e1
0x2C53	0x24e2
0x2C54	0x24e3
0x2C55	0x24e4
0x2C56	0x24e5
0x2C57	0x24e6
0x2C58	0x24e7
0x2C59	0x24e8
0x2C5A	0x24e9
0x2C5B	0x32d0
0x2C5C	0x32d1
0x2C5D	0x32d2
0x2C5E	0x32d3
0x2C5F	0x32d4
0x2C60	0x32d5
0x2C61	0x32d6
0x2C62	0x32d7
0x2C63	0x32d8
0x2C64	0x32d9
0x2C65	0x32da
0x2C66	0x32db
0x2C67	0x32dc
0x2C68	0x32dd
0x2C69	0x32de
0x2C6A	0x32df
0x2C6B	0x32e0
0x2C6C	0x32e1
0x2C6D	0x32e2
0x2C6E	0x32e3
0x2C6F	0x32fa
0x2C70	0x32e9
0x2C71	0x32e5
0x2C72	0x32ed
0x2C73	0x32ec
0x2C7E	0x2042
0x2D21	0x2460
0x2D22	0x2461
0x2D23	0x2462
0x2D24	0x2463
0x2D25	0x2464
0x2D26	0x2465
0x2D27	0x2466
0x2D28	0x2467
0x2D29	0x2468
0x2D2A	0x2469
0x2D2B	0x246a
0x2D2C	0x246b
0x2D2D	0x246c
0x2D2E	0x246d
0x2D2F	0x246e
0x2D30	0x246f
0x2D31	0x2470
0x2D32	0x2471
0x2D33	0x2472
0x2D34	0x2473
0x2D35	0x2160
0x2D36	0x2161
0x2D37	0x2162
0x2D38	0x2163
0x2D39	0x2164
0x2D3A	0x2165
0x2D3B	0x2166
0x2D3C	0x2167
0x2D3D	0x2168
0x2D3E	0x2169
0x2D3F	0x216a
0x2D40	0x3349
0x2D41	0x3314
0x2D42	0x3322
0x2D43	0x334d
0x2D44	0x3318
0x2D45	0x3327
0x2D46	0x3303
0x2D47	0x3336
0x2D48	0x3351
0x2D49	0x3357
0x2D4A	0x330d
0x2D4B	0x3326
0x2D4C	0x3323
0x2D4D	0x332b
0x2D4E	0x334a
0x2D4F	0x333b
0x2D50	0x339c
0x2D51	0x339d
0x2D52	0x339e
0x2D53	0x338e
0x2D54	0x338f
0x2D55	0x33c4
0x2D56	0x33a1
0x2D57	0x216b
0x2D5F	0x337b
0x2D60	0x301d
0x2D61	0x301f
0x2D62	0x2116
0x2D63	0x33cd
0x2D64	0x2121
0x2D65	0x32a4
0x2D66	0x32a5
0x2D67	0x32a6
0x2D68	0x32a7
0x2D69	0x32a8
0x2D6A	0x3231
0x2D6B	0x3232
0x2D6C	0x3239
0x2D6D	0x337e
0x2D6E	0x337d
0x2D6F	0x337c
0x2D73	0x222e
0x2D78	0x221f
0x2D79	0x22bf
0x2D7D	0x2756
0x2D7E	0x261e
0x2E23	0x3402
0x2E24	0x4e28
0x2E25	0x4e2f
0x2E26	0x4e30
0x2E27	0x4e8d
0x2E28	0x4ee1
0x2E29	0x4efd
0x2E2A	0x4eff
0x2E2B	0x4f03
0x2E2C	0x4f0b
0x2E2D	0x4f60
0x2E2E	0x4f48
0x2E2F	0x4f49
0x2E30	0x4f56
0x2E31	0x4f5f
0x2E32	0x4f6a
0x2E33	0x4f6c
0x2E34	0x4f7e
0x2E35	0x4f8a
0x2E36	0x4f94
0x2E37	0x4f97
0x2E39	0x4fc9
0x2E3A	0x4fe0
0x2E3B	0x5001
0x2E3C	0x5002
0x2E3D	0x500e
0x2E3E	0x5018
0x2E3F	0x5027
0x2E40	0x502e
0x2E41	0x5040
0x2E42	0x503b
0x2E43	0x5041
0x2E44	0x5094
0x2E45	0x50cc
0x2E46	0x50f2
0x2E47	0x50d0
0x2E48	0x50e6
0x2E4A	0x5106
0x2E4B	0x5103
0x2E4C	0x510b
0x2E4D	0x511e
0x2E4E	0x5135
0x2E4F	0x514a
0x2E51	0x5155
0x2E52	0x5157
0x2E53	0x34b5
0x2E54	0x519d
0x2E55	0x51c3
0x2E56	0x51ca
0x2E57	0x51de
0x2E58	0x51e2
0x2E59	0x51ee
0x2E5A	0x5201
0x2E5B	0x34db
0x2E5C	0x5213
0x2E5D	0x5215
0x2E5E	0x5249
0x2E5F	0x5257
0x2E60	0x5261
0x2E61	0x5293
0x2E62	0x52c8
0x2E64	0x52cc
0x2E65	0x52d0
0x2E66	0x52d6
0x2E67	0x52db
0x2E69	0x52f0
0x2E6A	0x52fb
0x2E6B	0x5300
0x2E6C	0x5307
0x2E6D	0x531c
0x2E6F	0x5361
0x2E70	0x5363
0x2E71	0x537d
0x2E72	0x5393
0x2E73	0x539d
0x2E74	0x53b2
0x2E75	0x5412
0x2E76	0x5427
0x2E77	0x544d
0x2E78	0x549c
0x2E79	0x546b
0x2E7A	0x5474
0x2E7B	0x547f
0x2E7C	0x5488
0x2E7D	0x5496
0x2E7E	0x54a1
0x2F21	0x54a9
0x2F22	0x54c6
0x2F23	0x54ff
0x2F24	0x550e
0x2F25	0x552b
0x2F26	0x5535
0x2F27	0x5550
0x2F28	0x555e
0x2F29	0x5581
0x2F2A	0x5586
0x2F2B	0x558e
0x2F2D	0x55ad
0x2F2E	0x55ce
0x2F30	0x5608
0x2F31	0x560e
0x2F32	0x563b
0x2F33	0x5649
0x2F34	0x5676
0x2F35	0x5666
0x2F37	0x566f
0x2F38	0x5671
0x2F39	0x5672
0x2F3A	0x5699
0x2F3B	0x569e
0x2F3C	0x56a9
0x2F3D	0x56ac
0x2F3E	0x56b3
0x2F3F	0x56c9
0x2F40	0x56ca
0x2F41	0x570a
0x2F43	0x5721
0x2F44	0x572f
0x2F45	0x5733
0x2F46	0x5734
0x2F47	0x5770
0x2F48	0x5777
0x2F49	0x577c
0x2F4A	0x579c
0x2F4B	0xfa0f
0x2F4D	0x57b8
0x2F4E	0x57c7
0x2F4F	0x57c8
0x2F50	0x57cf
0x2F51	0x57e4
0x2F52	0x57ed
0x2F53	0x57f5
0x2F54	0x57f6
0x2F55	0x57ff
0x2F56	0x5809
0x2F57	0xfa10
0x2F58	0x5861
0x2F59	0x5864
0x2F5B	0x587c
0x2F5C	0x5889
0x2F5D	0x589e
0x2F5F	0x58a9
0x2F61	0x58d2
0x2F62	0x58ce
0x2F63	0x58d4
0x2F64	0x58da
0x2F65	0x58e0
0x2F66	0x58e9
0x2F67	0x590c
0x2F68	0x8641
0x2F69	0x595d
0x2F6A	0x596d
0x2F6B	0x598b
0x2F6C	0x5992
0x2F6D	0x59a4
0x2F6E	0x59c3
0x2F6F	0x59d2
0x2F70	0x59dd
0x2F71	0x5a13
0x2F72	0x5a23
0x2F73	0x5a67
0x2F74	0x5a6d
0x2F75	0x5a77
0x2F76	0x5a7e
0x2F77	0x5a84
0x2F78	0x5a9e
0x2F79	0x5aa7
0x2F7A	0x5ac4
0x2F7C	0x5b19
0x2F7D	0x5b25
0x3021	0x4e9c
0x3022	0x5516
0x3023	0x5a03
0x3024	0x963f
0x3025	0x54c0
0x3026	0x611b
0x3027	0x6328
0x3028	0x59f6
0x3029	0x9022
0x302A	0x8475
0x302B	0x831c
0x302C	0x7a50
0x302D	0x60aa
0x302E	0x63e1
0x302F	0x6e25
0x3030	0x65ed
0x3031	0x8466
0x3032	0x82a6
0x3033	0x9bf5
0x3034	0x6893
0x3035	0x5727
0x3036	0x65a1
0x3037	0x6271
0x3038	0x5b9b
0x3039	0x59d0
0x303A	0x867b
0x303B	0x98f4
0x303C	0x7d62
0x303D	0x7dbe
0x303E	0x9b8e
0x303F	0x6216
0x3040	0x7c9f
0x3041	0x88b7
0x3042	0x5b89
0x3043	0x5eb5
0x3044	0x6309
0x3045	0x6697
0x3046	0x6848
0x3047	0x95c7
0x3048	0x978d
0x3049	0x674f
0x304A	0x4ee5
0x304B	0x4f0a
0x304C	0x4f4d
0x304D	0x4f9d
0x304E	0x5049
0x304F	0x56f2
0x3050	0x5937
0x3051	0x59d4
0x3052	0x5a01
0x3053	0x5c09
0x3054	0x60df
0x3055	0x610f
0x3056	0x6170
0x3057	0x6613
